MSI|Ноутбук Intel Core i7 10870H/16 ГБ/512 Гб/17.3''/1920x1080/NVIDIA GeForce RTX 3060/DOS|//images.wbstatic.net/c252x336/new/19350000/19354020-1.jpg|149 140 ₽|-5%
Dell|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/13.4''/3840x2160/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/12130000/12133056-1.jpg|151 056 ₽|-19%
MSI|Ноутбук Intel Core i5 9300H/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650 Max-Q/Windows|//images.wbstatic.net/c252x336/new/13220000/13229283-1.jpg|67 851 ₽|-13%
lenovo|Ноутбук AMD Ryzen 5 2500U/4 ГБ/128 Гб/14''/1920x1080/AMD Radeon Vega 8/Windows|//images.wbstatic.net/c252x336/new/12170000/12171865-1.jpg|43 766 ₽|-15%
lenovo|"Ноутбук Intel Core i5 8250U/8 ГБ/256 Гб/12.5""/1920x1080/Intel UHD Graphics 620/Windows"|//images.wbstatic.net/c252x336/new/12180000/12189016-1.jpg|81 612 ₽|-23%
lenovo|Ноутбук Intel Core i5 8250U/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189018-1.jpg|102 761 ₽|-14%
lenovo|Ноутбук Intel Core i5 8250U/8 ГБ/500 Гб/15.6''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189019-1.jpg|89 666 ₽|-15%
Asus|Ноутбук Intel Core i5 10210U/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/14250000/14254320-1.jpg|73 911 ₽|-12%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/15.6''/1920x1080/NVIDIA Quadro P520/Windows|//images.wbstatic.net/c252x336/new/12180000/12189020-1.jpg|119 691 ₽|-16%
Echips|"Ноутбук Intel Core i5 5257U/8 ГБ/128 Гб/15.6""/1920 x 1080/Intel HD Graphics 6000/Windows"|//images.wbstatic.net/c252x336/new/19220000/19223879-1.jpg|39 881 ₽|-21%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/15.6''/3840x2160/NVIDIA Quadro P520/Windows|//images.wbstatic.net/c252x336/new/12180000/12189022-1.jpg|142 791 ₽|-16%
lenovo|Ноутбук Intel Core i5 1035G4/16 ГБ/1024 Гб/14''/1920 x 1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/18560000/18561304-1.jpg|88 340 ₽|-5%
